"Title","Concept","Glossary term » Taxonomy term » Acronym (indexed field)","Definition","Deliverable(s)","Glossary term » Taxonomy term » Alternative labels (indexed field)","term_id","node_id"
"agri-environmental scheme_ppa_eca","agri-environmental scheme","","Schemes that provide funding to farmers and land managers to farm in ways that support biodiversity, enhance the landscape, and improve the quality of water, air and soil (see also agroecology as integral to such schemes).","Pollination assessment, Europe and Central Asia assessment",NA,21535,16233
"agribusiness_ldr","agribusiness","","Collective business activities that are performed from farm to table. It covers agricultural input suppliers, producers, agroprocessors, distributors, traders, exporters, retailers and consumers. Agro- industry refers to the establishment of linkages between enterprises and supply chains for developing, transforming and distributing specific inputs and products in the agriculture sector. Consequently, agro-industries are a subset of the agribusiness sector. Agribusiness and agro-industry both involve commercialization and value addition of agricultural and post-production enterprises, and the building of linkages among agricultural enterprises. The terms agribusiness and agro-industries are often associated with large-scale farming enterprises or enterprises involved in large-scale food production, processing, distribution and quality control of agricultural products.","Land degradation and restoration assessment",NA,24530,40645
"agricultural biodiversity_nxs","agricultural biodiversity","","A broad term that includes all components of biological diversity of relevance to food and agriculture, and all components of biological diversity that constitute the agricultural ecosystems (agroecosystems). Includes the variety and variability of animals, plants and micro-organisms, at the genetic, species and ecosystem levels, which are necessary to sustain key functions of the agroecosystem, its structure and processes (CBD, 2000).","Nexus assessment",NA,33928,87924
"agricultural commodity_ldr","agricultural commodity","","A primary agricultural product that can be bought and sold.","Land degradation and restoration assessment",NA,24531,40646
"agricultural ecosystem / agroecosystem_nxs","agricultural ecosystem / agroecosystem","","Communities of plants and animals interacting with their physical and chemical environments that have been modified by people to produce food, fibre, fuel and other products for human consumption and processing (Altieri et al., 2015).","Nexus assessment",NA,33929,87925
"agricultural extensification_ga1_ldr","agricultural extensification","","The process (or trend) of developing a more extensive production system, i.e. one which utilizes large areas of land, but with minimal inputs and expenditures of capital and labour.","Global assessment (1st work programme), Land degradation and restoration assessment",NA,24532,40647
"agricultural extension_ppa_apa","agricultural extension","","A service whereby knowledge about agricultural practices, technologies, tools, and innovations is conveyed to farmers and rural people.","Pollination assessment, Asia-Pacific assessment",NA,21533,16231
"agricultural intensification_ga1_ama_eca_ldr_apa_ga1","agricultural intensification","","An increase in agricultural production per unit of inputs (which may be labour, land, time, fertilizer, seed, feed or cash).","Global assessment (1st work programme), Americas assessment, Europe and Central Asia assessment, Land degradation and restoration assessment, Asia-Pacific assessment, Global assessment (1st work programme)",NA,21534,16232
"agricultural intensification_ppa","agricultural intensification","","The process by which land becomes increasingly used for agricultural production. Agricultural intensification can apply to high-input (machinery, fuel, chemicals) farming as well as to lower- input traditional to organic practices.","Pollination assessment",NA,21534,40648
"agricultural intensification_sua","agricultural intensification","","The process of increasing the use of capital, labor, and inputs (e.g. fertilizers, pesticides, machinery) relative to land area, to increase agriculture productivity.","Sustainable use assessment",NA,21534,40649
"agricultural orientation index_ldr","agricultural orientation index","AOI","The Agriculture Orientation Index (AOI) for Government Expenditures is defined as the Agriculture Share of Government Expenditures, divided by the Agriculture Share of Gross Domestic Product (GDP), where Agriculture refers to the agriculture, forestry, fishing and hunting sector.","Land degradation and restoration assessment",NA,24533,40650
"agricultural production landscapes_apa","agricultural production landscapes","","See Agro ecological zones.","Asia-Pacific assessment",NA,24534,40651
"agrisilvicultural system_ldr","agrisilvicultural system","","A land-use system in which growing of trees and agriculture crops occur together in same lands.","Land degradation and restoration assessment",NA,24535,40652
"agrisilvipastoral system_ldr","agrisilvipastoral system","","A land-use system, implying the combination or deliberate association of a woody component (trees or shrubs) with cattle in the same site.","Land degradation and restoration assessment",NA,24536,40653
"agro-deforestation_apa","agro-deforestation","","The removal of trees or de-emphasis on the planting and/or protection of trees in the context of existing agroecosystems.","Asia-Pacific assessment",NA,24538,40659
"agro-ecological zone_afa_ama_ppa_ga1","agro-ecological zone","","Geographic areas with homogeneous sets of climatic parameters and natural resource characteristics, such as rainfall, solar radiation, soil types and soil qualities, which correspond to a level of agricultural potential.","Africa assessment, Americas assessment, Pollination assessment, Global assessment (1st work programme)",NA,21537,16234
"agrobiodiversity_ldr","agrobiodiversity","","A broad term that includes all components of biological diversity of relevance to food and agriculture, and all components of biological diversity that constitute the agricultural ecosystems, also named agro-ecosystems: the variety and variability of animals, plants and micro-organisms, at the genetic, species and ecosystem levels, which are necessary to sustain key functions of the agro-ecosystem, its structure and processes (CBD COP decision V/5, appendix). Agricultural biodiversity is the outcome of the interactions among genetic resources, the environment and the management systems and practices used by farmers, in some cases over millennia.","Land degradation and restoration assessment",NA,21536,40654
"agrobiodiversity_eca_ga1","agrobiodiversity","","Agrobiodiversity or agricultural biodiversity is the biological diversity that sustains key functions, structures and processes of agricultural ecosystems. It includes the variety and variability of animals, plants and micro-organisms, at the genetic, species and ecosystem levels.","Europe and Central Asia assessment, Global assessment (1st work programme)",NA,21536,40655
"agrobiodiversity_apa","agrobiodiversity","","The result of natural selection processes and the careful selection and inventive developments of farmers, herders and fishers over millennia. A vital sub-set of biodiversity.","Asia-Pacific assessment",NA,21536,40656
"agrobiodiversity_ama","agrobiodiversity","","Agricultural biodiversity is the biological diversity that sustains key functions, structures and processes of agricultural ecosystems. It includes the variety and variability of animals, plants and micro-organisms, at the genetic, species and ecosystem levels.","Americas assessment",NA,21536,16869
"agrochemical_ldr","agrochemical","","Any substance used to help manage an agricultural ecosystem, or the community of organisms in a farming area. Agrochemicals include: (i) fertilizers; (ii) liming and acidifying agents; (iii) soil conditioners; (iv) pesticides; and (v) chemicals used in animal husbandry, such as antibiotics and hormones.","Land degradation and restoration assessment",NA,24537,40657
"agrochemical_apa","agrochemical","","An agrochemical or agrichemical, a contraction of agricultural chemical, is a chemical product used in agriculture. In most cases, agrichemical refers to pesticides including insecticides, herbicides, fungicides and nematicides. It may also include synthetic fertilizers, hormones and other chemical growth agents, and concentrated stores of raw animal manure.","Asia-Pacific assessment",NA,24537,40658
"agroecological agriculture_ppa","agroecological agriculture","","An approach that aims to regenerate functionally interacting biodiversity leading to sustainable, resilient systems. Methods are knowledge, management and labour- intensive rather than input intensive, and are often rooted in traditional farming practices and/or are co-developed by farmers and scientists working together.","Pollination assessment",NA,24539,40660
"agroecology_ama","agroecology","","The science and practice of applying ecological concepts, principles and knowledge (i.e. the interactions of, and explanations for, the diversity, abundance and activities of organisms) to the study, design and management of sustainable agroecosystems. It includes the roles of human beings as a central organism in agroecology by way of social and economic processes in farming systems. Agroecology examines the roles and interactions among all relevant biophysical, technical and socioeconomic components of farming systems and their surrounding landscapes.","Americas assessment",NA,21538,16235
"agroecology_ldr_ga1_eca_nxs","agroecology","","The science and practice of applying ecological concepts, principles and knowledge (i.e. the interactions of, and explanations for, the diversity, abundance and activities of organisms) to the study, design and management of sustainable agroecosystems. It includes the roles of human beings as a central organism by way of social and economic processes in farming systems. Agroecology examines the roles and interactions among all relevant biophysical, technical and socioeconomic components of farming systems and their surrounding landscapes.","Land degradation and restoration assessment",NA,21538,40661
"agroecology_tca","agroecology","","The science and practice of applying ecological concepts, principles and knowledge (i.e., the interactions of and explanations for, the diversity, abundance and activities of organisms) to the study, design and management of sustainable agroecosystems. It includes the roles of human beings as a central organism by way of social and economic processes in farming systems. Agroecology examines the roles and interactions among all relevant biophysical, technical and socioeconomic components of farming systems and their surrounding landscapes (IPBES, 2019a). In this assessment agroecology bridges local traditional and global scientific knowledge through a dialogue of wisdoms, fostering innovation and adaptation of technologies that rely on biodiversity.","Transformative change assessment",NA,21538,87926
"agroecosystem_apa","agroecosystem","","A human activity system that provides specific services and possesses certain characteristics such as defined biodiversity, a determined ecological succession and food webs and nutrient cycles.","Asia-Pacific assessment",NA,21539,40662
"agroecosystem_ldr_eca_ama_sua","agroecosystem","","An ecosystem, dominated by agriculture, containing assets and functions such as biodiversity, ecological succession and food webs. An agroecosystem is not restricted to the immediate site of agricultural activity (e.g. the farm), but rather includes the region that is impacted by this activity, usually by changes to the complexity of species assemblages and energy flows, as well as to the net nutrient balance.","Land degradation and restoration assessment, Europe and Central Asia assessment, Americas assessment, Sustainable use assessment",NA,21539,16870
"agroforestry_ldr","agroforestry","","A collective name for land-use systems and technologies where woody perennials (trees, shrubs, palms, bamboos and so on) are deliberately used on the same land-management units as agricultural crops and/or animals, in some form of spatial arrangement or temporal sequence. Agroforestry can enhance the food supply, income and health of smallholder farmers and other rural people.","Land degradation and restoration assessment",NA,21540,40664
"agroforestry_ama","agroforestry","","A collective name for land-use systems and technologies where woody perennials (trees, shrubs, palms, bamboos, etc.) are deliberately used on the same land- management units as agricultural crops and animals, in some form of spatial arrangement or temporal sequence.","Americas assessment",NA,21540,40665
"agroforestry_eca_ga1","agroforestry","","A collective name for land-use systems and technologies where woody perennials (trees, shrubs, palms, bamboos, etc.) are deliberately used on the same land- management units as agricultural crops and/or animals, in some form of spatial arrangement or temporal sequence.","Europe and Central Asia assessment, Global assessment (1st work programme)",NA,21540,40666
"agroforestry_apa","agroforestry","","Rural and urban agricultural land use systems in which trees or tree-like perennial and forests are deliberately planted or protected along with agricultural crops and/ or animals and associated wild species.","Asia-Pacific assessment",NA,21540,40667
"agroforestry_sua","agroforestry","","Agroforestry is a collective name for land-use systems and technologies where woody perennials (trees, shrubs, palms, bamboos, etc.) are deliberately used on the same land-management units as agricultural crops and animals, in some form of spatial arrangement or temporal sequence.","Sustainable use assessment",NA,21540,16871
"agroforestry_nxs","agroforestry","","A collective name for land use systems and technologies where woody perennials (trees, shrubs, palms, bamboos, etc.) are deliberately used on the same land management units as agricultural crops and animals, in some form of spatial arrangement or temporal sequence.","Nexus assessment",NA,21540,87927
"ahimsā_tca","ahimsā","","Principle of non-violence in the context of a cosmology where ""all lives are integrated and to harm other is to hurt the community as a whole"" (Singh, 2014). Origin: India","Transformative change assessment",NA,34209,88326
"Aichi (biodiversity) targets_eca_ama_ldr_ga1_sua_apa_scm","Aichi (biodiversity) targets","","The 20 targets set by the Conference of the Parties to the Convention for Biological Diversity (CBD) at its tenth meeting, under the Strategic Plan for Biodiversity 2011-2020.","Europe and Central Asia assessment, Americas assessment, Land degradation and restoration assessment, Global assessment (1st work programme), Sustainable use assessment, Asia-Pacific assessment, Scenarios and models assessment",NA,21541,16236
"albedo_ga1","albedo","","The fraction of solar radiation reflected by a surface or object, often expressed as a percentage.","Global assessment (1st work programme)",NA,24540,40668
"alien invasive species_ppa","alien invasive species","","Alien species that becomes established in natural or semi-natural ecosystems or habitat, are agents of change, and threaten native biological diversity.","Pollination assessment",NA,24541,40669
"alien species_ama_ldr_eca","alien species","","See invasive alien species.","Americas assessment, Land degradation and restoration assessment, Europe and Central Asia assessment",NA,21542,16237
"alien species_ppa","alien species","","A species, subspecies, or lower taxon occurring outside of its natural range (past or present) and dispersal potential (i.e. outside the range it occupies naturally or could not occupy without direct or indirect introduction or care by humans) and includes any part, gametes or propagule of such species that might survive and subsequently reproduce. Also known as non-native, non-indigenous, foreign, or exotic species.","Pollination assessment",NA,21542,40670
"alien species_ias","alien species","","a species whose presence in a region is attributable to human actions, intentional or unintentional, that enable them to overcome biogeographical barriers (Richardson et al., 2010; Figure 1.1). This includes species, subspecies or lower taxon, and any part (gametes, seeds, eggs, or propagules) of such species that might survive and subsequently reproduce","Invasive alien species assessment",NA,21542,69549
"alliance for zero extinction sites_afa","alliance for zero extinction sites","","Refer to sites containing 95% or more of the remaining population of one or more species listed as endangered or critically endangered on the IUCN Red List of Threatened Species.","Africa assessment",NA,24542,40671
"alluvial soil_ldr","alluvial soil","","Soils deposited by water.","Land degradation and restoration assessment",NA,24543,40672
"alpha diversity_ga1","alpha diversity","","The diversity of species within a particular area or ecosystem, expressed by the number of species (species richness) present there.","Global assessment (1st work programme)",NA,24544,40673
"alternative futures_apa","alternative futures","","Plausible future pathways either arising from or forming scenario assessments, often presented as narratives that explore or articulate possibilities.","Asia-Pacific assessment",NA,24545,40674
"alternative trajectories_apa","alternative trajectories","","Variable pathways or routes leading to plausible Alternative Futures.","Asia-Pacific assessment",NA,24546,40675
"ameliorative policy arrangements_apa","ameliorative policy arrangements","","Policy combinations that act to improve condistions or situations.","Asia-Pacific assessment",NA,24547,40676
"amorphous_ldr","amorphous","","Without a clearly defined shape or form.","Land degradation and restoration assessment",NA,24548,40677
"anaerobic_ldr","anaerobic","","Descriptive of a condition in which molecular oxygen is not available.","Land degradation and restoration assessment",NA,24549,40678
"animism_apa","animism","","The attribution of a soul to plants, inanimate objects, and natural phenomena.","Asia-Pacific assessment",NA,21543,40679
"animism_sua","animism","","A nature-culture ontology that is defined by the fact that humans acknowledge that non-humans have a different ""physicality"" or external appearance but that non-humans have an inner self that is similar to humans, which allows exchanges and relationships that may be conflictual or reciprocal.","Sustainable use assessment",NA,21543,88434
"animism_ga1","animism","","A nature-culture ontology that is defined by the fact that humans acknowledge that non-humans have a different physicality or external appearance but that non-humans have an inner self that is similar to humans, which allows exchanges and relationships that may be conflictual or reciprocal.","Global assessment (1st work programme)",NA,21543,87929
"annual_ppa","annual","","adj. Referring to events that occur once each year. Botanical meaning refers to plants that grow from seed to maturity, reproduction and death in one year. Related terms are biennial (plants that take two years to complete their life cycles), and perennial (plants that take several to many years to complete their life cycles).","Pollination assessment",NA,21544,40680
"annual_ga1_eca_apa_ama","annual","","In botany, refers to plants that grow from seed to maturity, reproduction and death in one year. Related terms are biennial (plants that take two years to complete their life cycles), and perennial (plants that take several many years to complete their life cycles).","Global assessment (1st work programme), Europe and Central Asia assessment, Asia-Pacific assessment, Americas assessment",NA,21544,40681
"anoxic_ldr","anoxic","","Depleted of dissolved oxygen.","Land degradation and restoration assessment",NA,24550,40682
"anoxic event_ga1","anoxic event","","Extreme coastal hypoxic conditions (dissolved oxygen <0.5mL per liter), leading to dead zones with mass mortality of benthic fauna.","Global assessment (1st work programme)",NA,24551,40683
"anthrome_ga1","anthrome","","A shortened form for 'anthropogenic biome', also known as 'human biome'. Describes the contemporary, human-altered form of biomes. Transformation to an anthrome occurs where people capture one or more nature's contributions to people into anthropogenic pathways to a high degree. The four IPBES anthromes are broader and more aggregated than many formally described anthromes. Since anthromes are transformed parts of a biome, the pre-transformation extent of the biome may be relevant for analysis.","Global assessment (1st work programme)",NA,24552,40684
"anthrome_ldr","anthrome","","Neologism for Anthropogenic biome, i.e. an ecosystem produced by humans.","Land degradation and restoration assessment",NA,24552,40685
"anthropocene_ga1","anthropocene","","A proposed term for the present time interval, which recognizes humanity’s profound imprint on and role in the functioning of the Earth system. Since it was first proposed in 2000, the term has evolved in breadth and diversely, now ranging from a proposed definition of a new geological epoch, a widely-used metaphor for global change, a novel analytical framework, a meme about the relationship of society to nature, and the framing for new and contested cultural narratives. Different starting periods have been proposed for the geological definition of the Anthropocene, including early agriculture and domestication, colonial species exchange, the onset of the industrial revolution, nuclear bomb deployment in 1945, and the post-WWII period characterized by the great acceleration of global changes and the spread of techno-fossils. A proposal to formalize the ‘Anthropocene’ as a defined geological unit within the Geological Time Scale remains under discussion by the ‘Anthropocene’ Working Group for consideration by the International Commission on Stratigraphy.","Global assessment (1st work programme)",NA,24553,40686
"anthropocene_sua","anthropocene","","A proposed term for the present time interval, which recognizes humanity’s profound imprint on and role in the functioning of the Earth system. Since it was first proposed in 2000, the term has evolved in breadth and diversity, now ranging from a proposed definition of a new geological epoch, a widely-used metaphor for global change, a novel analytical framework, a meme about the relationship of society to nature, and the framing for new and contested cultural narratives. Different starting periods have been proposed for the geological definition of the Anthropocene, including early agriculture and domestication, colonial species exchange, the onset of the industrial revolution, nuclear bomb deployment in 1945, and the post-WWII period characterized by the great acceleration of global changes and the spread of techno-fossils (Brondizio et al., 2016). A proposal to formalize the ‘Anthropocene’ as a defined geological unit within the Geological Time Scale remains under discussion by the ‘Anthropocene’ Working Group for consideration by the International Commission on Stratigraphy.","Sustainable use assessment",NA,24553,40687
"anthropocentric_ga1_sua","anthropocentric","","Anthropocentric qualifies an action or a perception of a given situation that is interpreted by humans or consider humans as the main focus. Nature's contributions to people are fundamentally anthropocentric.","Global assessment (1st work programme), Sustainable use assessment",NA,24554,40688
"anthropocentric_ldr","anthropocentric","","In an anthropocentric view of nature, nature is valued for its benefits to human beings. See Ecocentric.","Land degradation and restoration assessment",NA,24554,40689
"anthropocentric value_ldr_eca","anthropocentric value","","See values.","Land degradation and restoration assessment, Europe and Central Asia assessment",NA,21545,16239
"anthropocentric value_scm_ldr_apa_eca","anthropocentric value","","Human-centred, the value that something has for human beings and human purposes.","Scenarios and models assessment, Land degradation and restoration assessment, Asia-Pacific assessment, Europe and Central Asia assessment",NA,21545,40690
"anthropocentric value_ama_afa","anthropocentric value","","The value that something has for human beings and human purposes.","Americas assessment, Africa assessment",NA,21545,40691
