"id","prefix","term","definition","reports","downloaded_at"
"5842","A","Acclimatisation","A change in functional or morphological traits occurring once or repeatedly (e.g., seasonally) during the lifetime of an individual organism in its natural environment. Through acclimatisation, the individual maintains performance across a range of environmental conditions. For a clear differentiation between findings in laboratory and field studies, the term ‘acclimation’ is used in ecophysiology for the respective phenomena when observed in well-defined experimental settings. The term ‘(adaptive) plasticity’ characterises the generally limited scope of changes in phenotype that an individual can reach through the process of acclimatisation.","AR6","2026-02-27"
"1514","A","Acclimatization","A change in functional or morphological traits occurring once or repeatedly (e.g., seasonally) during the lifetime of an individual organism in its natural environment. Through acclimatization the individual maintains performance across a range of environmental conditions. For a clear differentiation between findings in laboratory and field studies, the term acclimation is used in ecophysiology for the respective phenomena when observed in well-defined experimental settings. The term (adaptive) plasticity characterises the generally limited scope of changes in phenotype that an individual can reach through the process of acclimatization.","SRCCL; AR5-WG2","2026-02-27"
"2542","A","Accumulation","All processes that add to the mass of a glacier. The main contribution to accumulation is snowfall. Accumulation also includes deposition of hoar, freezing rain, other types of solid precipitation, gain of wind-blown snow, and avalanching.","AR5-WG1","2026-02-27"
"2080","A","Accumulation (of glaciers, ice sheets or snow cover)","All processes that add to the mass of a glacier, an ice sheet, or snow cover. The main process of accumulation is snowfall. Accumulation also includes deposition of hoar, freezing rain, other types of solid precipitation, gain of wind-blown snow, avalanching, and basal accumulation (often beneath floating ice).","SROCC; AR6","2026-02-27"
"1850","A","Active control","is a deliberate intervention in the functioning of a system (for example, wind turbine pitch control: changing the orientation of the blades for varying a wind turbine's output).","SRREN","2026-02-27"
"2082","A","Active layer","Layer of ground above permafrost subject to annual thawing and freezing.","SROCC; AR5-WG1; AR6","2026-02-27"
"2018","A","Active solar","needs equipment like panels, pumps and fans to collect and distribute the energy.","SRREN","2026-02-27"
"1516","A","Activity","A practice or ensemble of practices that take place on a delineated area over a given period of time.","SRCCL","2026-02-27"
"1518","A","Activity data","Data on the magnitude of a human activity resulting in emissions or removals taking place during a given period of time. In the Agriculture, Forestry and Other Land Use (AFOLU) sector, data on area of different land uses, management systems, animal numbers, lime and fertiliser use are examples of activity data.","SRCCL","2026-02-27"
"5849","A","Acute food insecurity","Acute food insecurity is a situation which can occur at any time with a severity that threatens lives, livelihoods or both, regardless of the causes,context or duration, as a result of shocks risking determinants of food security and nutrition, and used to assess the need for humanitarian action (IPC Global Partners, 2019).","AR6","2026-02-27"
"7","A","Adaptability","","SRCCL; SROCC; SR15; AR5-WG3","2026-02-27"
"9","A","Adaptation","In human systems, the process of adjustment to actual or expected climate and its effects, in order to moderate harm or exploit beneficial opportunities. In natural systems, the process of adjustment to actual climate and its effects; human intervention may facilitate adjustment to expected climate and its effects.","SRCCL; SROCC; SR15; AR5-WG3; AR5-SYR; AR5-WG2; SRREN; SREX; AR6","2026-02-27"
"3230","A","Adaptation assessment","The practice of identifying options to adapt to climate change and evaluating them in terms of criteria such as availability, benefits, costs, effectiveness, efficiency, and feasibility.","AR5-WG2; SREX","2026-02-27"
"345","A","Adaptation behaviour","Human actions that directly or indirectly affect the risks of climate change impacts.","SRCCL; SROCC; SR15; AR6","2026-02-27"
"3232","A","Adaptation constraint","Factors that make it harder to plan and implement adaptation actions or that restrict options.","AR5-WG2","2026-02-27"
"3156","A","Adaptation deficit","The gap between the current state of a system and a state that minimizes adverse impacts from existing climate conditions and variability.","AR5-SYR; AR5-WG2; AR6","2026-02-27"
"2782","A","Adaptation Fund","A Fund established under the Kyoto Protocol in 2001 and officially launched in 2007. The Fund finances adaptation projects and programmes in developing countries that are Parties to the Kyoto Protocol. Financing comes mainly from sales of Certified Emissions Reductions (CERs) and a share of proceeds amounting to 2 % of the value of CERs issued each year for Clean Development Mechanism (CDM) projects. The Adaptation Fund can also receive funds from government, private sector, and individuals.","AR5-WG3; AR6","2026-02-27"
"5844","A","Adaptation gap","The difference between actually implemented adaptation and a societally set goal, determined largely by preferences related to tolerated climate change impacts and reflecting resource limitations and competing priorities (UNEP, 2014; UNEP, 2018).","AR6","2026-02-27"
"3158","A","Adaptation limit","The point at which an actor's objectives (or system needs) cannot be secured from intolerable risks through adaptive actions.","AR5-SYR; AR5-WG2","2026-02-27"
"15","A","Adaptation limits","The point at which an actor’s objectives (or system needs) cannot be secured from intolerable risks through adaptive actions. --Hard adaptation limit: No adaptive actions are possible to avoid intolerable risks. --Soft adaptation limit: Options are currently not available to avoid intolerable risks through adaptive action.","SRCCL; SROCC; SR15; AR6","2026-02-27"
"3234","A","Adaptation needs","The circumstances requiring action to ensure safety of populations and security of assets in response to climate impacts.","AR5-WG2; AR6","2026-02-27"
"3236","A","Adaptation opportunity","Factors that make it easier to plan and implement adaptation actions, that expand adaptation options, or that provide ancillary co-benefits.","AR5-WG2; AR6","2026-02-27"
"17","A","Adaptation options","The array of strategies and measures that are available and appropriate for addressing adaptation. They include a wide range of actions that can be categorised as structural, institutional, ecological or behavioural.","SRCCL; SROCC; SR15; AR5-WG2; AR6","2026-02-27"
"497","A","Adaptation pathways","A series of adaptation choices involving trade-offs between short-term and long-term goals and values. These are processes of deliberation to identify solutions that are meaningful to people in the context of their daily lives and to avoid potential maladaptation.","SRCCL; SROCC; SR15; AR6","2026-02-27"
"19","A","Adaptive capacity","The ability of systems, institutions, humans and other organisms to adjust to potential damage, to take advantage of opportunities, or to respond to consequences (IPCC, 2014; MA, 2005).","SRCCL; SROCC; SR15; AR5-WG3; AR5-SYR; AR5-WG2; SREX; AR6","2026-02-27"
"309","A","Adaptive governance","An emerging term in the literature for the evolution of formal and informal institutions of governance that prioritise planning, implementation and evaluation of policy through iterative social learning; in the context of climate change, governance facilitating social learning to steer the use and protection of natural resources, and ecosystem services, particularly in situations of complexity and uncertainty.","SRCCL; SROCC; SR15; AR6","2026-02-27"
"3238","A","Adaptive management","A process of iteratively planning, implementing, and modifying strategies for managing resources in the face of uncertainty and change. Adaptive management involves adjusting approaches in response to observations of their effect and changes in the system brought on by resulting feedback effects and other variables.","AR5-WG2; AR6","2026-02-27"
"5172","A","Added value","Improvement of the representation of some climatic aspects by one methodology compared to another methodology. For instance, downscaling a coarse resolution global climate model may improve the representation of regional climate in complex terrain.","AR6","2026-02-27"
"2784","A","Additionality","Mitigation projects (e.g., under the Kyoto Mechanisms), mitigation policies, or climate finance are additional if they go beyond a business-as-usual level, or baseline. Additionality is required to guarantee the environmental integrity of project-based offset mechanisms, but difficult to establish in practice due to the counterfactual nature of the baseline.","AR5-WG3; AR6","2026-02-27"
"2528","A","Adjustment time or response time (Ta)","Adjustment time or response time (Ta) is the time scale characterizing the decay of an instantaneous pulse input into the reservoir. The term adjustment time is also used to characterize the adjustment of the mass of a reservoir following a step change in the source strength. Half-life or decay constant is used to quantify a first-order exponential decay process. See Response time for a different definition pertinent to climate variations. 
The term lifetime is sometimes used, for simplicity, as a surrogate for adjustment time. 
In simple cases, where the global removal of the compound is directly proportional to the total mass of the reservoir, the adjustment time equals the turnover time: T = Ta. An example is CFC-11, which is removed from the atmosphere only by photochemical processes in the stratosphere. In more complicated cases, where several reservoirs are involved or where the removal is not proportional to the total mass, the equality T = Ta no longer holds. Carbon dioxide (CO2) is an extreme example. Its turnover time is only about 4 years because of the rapid exchange between the atmosphere and the ocean and terrestrial biota. However, a large part of that CO2 is returned to the atmosphere within a few years. Thus, the adjustment time of CO2 in the atmosphere is actually determined by the rate of removal of carbon from the surface layer of the oceans into its deeper layers. Although an approximate value of 100 years may be given for the adjustment time of CO2 in the atmosphere, the actual adjustment is faster initially and slower later on. In the case of methane (CH4), the adjustment time is different from the turnover time because the removal is mainly through a chemical reaction with the hydroxyl radical (OH), the concentration of which itself depends on the CH4 concentration. Therefore, the CH4 removal rate S is not proportional to its total mass M.","AR5-WG1","2026-02-27"
"5749","A","Adjustments (in relation to effective radiative forcing)","The response to an agent perturbing the climate system that is driven directly by the agent, independently of any change in global surface temperature. For example, carbon dioxide and aerosols, by altering internal heating and cooling rates within the atmosphere, can each cause changes to cloud cover and other variables thereby producing an effective radiative forcing even in the absence of any surface warming or cooling. Adjustments are usually rapid in the sense that they begin to occur right away, before climate feedbacks which are driven by global surface warming (although some adjustments may still take significant time to proceed to completion, for example those involving vegetation or ice sheets).","AR6","2026-02-27"
"2286","A","Advection","Transport of water or air along with its properties (e.g., temperature, chemical tracers) by winds or currents. Regarding the general distinction between advection and convection, the former describes transport by large-scale motions of the atmosphere or ocean, while convection describes the predominantly vertical, locally induced motions.","AR5-WG1; AR6","2026-02-27"
"3164","A","Adverse side effects","The negative effects that a policy or measure aimed at one objective might have on other objectives, irrespective of the net effect on overall social welfare. Adverse side effects are often subject to uncertainty and depend on local circumstances and implementation practices, among other factors.","AR5-SYR","2026-02-27"
"1520","A","Adverse side-effect","The negative effects that a policy or measure aimed at one objective might have on other objectives, without yet evaluating the net effect on overall social welfare. Adverse side-effects are often subject to uncertainty and depend on, among others, local circumstances and implementation practices.","SRCCL; AR6","2026-02-27"
"2786","A","Adverse side-effects","The negative effects that a policy or measure aimed at one objective might have on other objectives, without yet evaluating the net effect on overall social welfare. Adverse side-effects are often subject to uncertainty and depend on, among others, local circumstances and implementation practices.","AR5-WG3","2026-02-27"
"21","A","Aerosol","A suspension of airborne solid or liquid particles, with a typical size between a few nanometres and 10 μm that reside in the atmosphere for at least several hours. The term aerosol, which includes both the particles and the suspending gas, is often used in this report in its plural form to mean aerosol particles. Aerosols may be of either natural or anthropogenic origin. Aerosols may influence climate in several ways: through both interactions that scatter and/or absorb radiation and through interactions with cloud microphysics and other cloud properties, or upon deposition on snow or ice covered surfaces thereby altering their albedo and contributing to climate feedback. Atmospheric aerosols, whether natural or anthropogenic, originate from two different pathways: emissions of primary particulate matter (PM), and formation of secondary PM from gaseous precursors. The bulk of aerosols are of natural origin. Some scientists use group labels that refer to the chemical composition, namely: sea salt, organic carbon, black carbon (BC), mineral species (mainly desert dust), sulphate, nitrate, and ammonium. These labels are, however, imperfect as aerosols combine particles to create complex mixtures.","SRCCL; SROCC; SR15; AR5-WG3; AR5-WG1; AR6","2026-02-27"
"2294","A","Aerosol effective radiative forcing (ERFari+aci)","The total effective radiative forcing due to both aerosol-cloud and aerosol-radiation interactions is denoted aerosol effective radiative forcing (ERFari+aci).","AR5-WG1; AR6","2026-02-27"
"4632","A","Aerosol optical depth (AOD)","Wavelength-dependent aerosol optical depth is a measure of the aerosol contribution to extinction of top-of-the-atmosphere solar intensity measured at the ground. AOD is unitless.","AR6","2026-02-27"
"1718","A","Aerosols","A collection of airborne solid or liquid particles, typically between 0.01 and 10 μm in size and residing in the atmosphere for at least several hours. Aerosols may be of natural or anthropogenic origin.","SRREN; SREX","2026-02-27"
"2288","A","Aerosol–cloud interaction","A process by which a perturbation to aerosol affects the microphysical properties and evolution of clouds through the aerosol role as cloud condensation nuclei or ice nuclei, particularly in ways that affect radiation or precipitation; such processes can also include the effect of clouds and precipitation on aerosol. The aerosol perturbation can be anthropogenic or come from some natural source. The radiative forcing from such interactions has traditionally been attributed to numerous indirect aerosol effects, but in this report, only two levels of radiative forcing (or effect) are distinguished:","AR5-WG1; AR6","2026-02-27"
"2296","A","Aerosol–radiation interaction","An interaction of aerosol directly with radiation produce radiative effects. In this report two levels of radiative forcing (or effect) are distinguished:","AR5-WG1; AR6","2026-02-27"
"23","A","Afforestation","Conversion to forest of land that historically has not contained forests. [Note: For a discussion of the term forest and related terms such as afforestation, reforestation and deforestation, in the context of reporting and accounting Article 3.3 and 3.4 activities under the Kyoto Protocol, see 2013 Revised Supplementary Methods and Good Practice Guidance Arising from the Kyoto Protocol.]","SRCCL; SR15; AR5-WG3; AR5-SYR; AR5-WG1; SRREN; AR6","2026-02-27"
"3240","A","Aggregate impacts","Total impacts integrated across sectors and/or regions. The aggregation of impacts requires knowledge of (or assumptions about) the relative importance of different impacts. Measures of aggregate impacts include, for example, the total number of people affected, or the total economic costs, and are usually bound by time, place, and/or sector.","AR5-WG2","2026-02-27"
"25","A","Agreement","In this report, the degree of agreement within the scientific body of knowledge on a particular finding is assessed based on multiple lines of evidence (e.g., mechanistic understanding, theory, data, models, expert judgement) and expressed qualitatively (Mastrandrea et al., 2010).","SRCCL; SROCC; SR15; AR5-WG3; AR6","2026-02-27"
"5559","A","Agricultural and ecological drought","Depending on the affected biome: a period with abnormal soil moisture deficit, which results from combined shortage of precipitation and excess evapotranspiration, and during the growing season impinges on crop production or ecosystem function in general.","AR6","2026-02-27"
"2924","A","Agricultural emissions","Emissions associated with agricultural systems — predominantly methane (CH4) or nitrous oxide (N2O). These include emissions from enteric fermentation in domestic livestock, manure management, rice cultivation, prescribed burning of savannas and grassland, and from soils","AR5-WG3","2026-02-27"
"3166","A","Agriculture, Forestry and Other Land Use (AFOLU and FOLU/ LULUCF)","AFOLU plays a central role for food security and sustainable development. The main mitigation options within AFOLU involve one or more of three strategies: prevention of emissions to the atmosphere by conserving existing carbon pools in soils or vegetation or by reducing emissions of methane and nitrous oxide; sequestration—increasing the size of existing carbon pools and thereby extracting carbon dioxide (CO2) from the atmosphere; and substitution—substituting biological products for fossil fuels or energy-intensive products, thereby reducing CO2 emissions. Demand-side measures (e.g., reducing losses and wastes of food, changes in human diet, or changes in wood consumption) may also play a role.

FOLU (Forestry and Other Land Use) — also referred to as LULUCF (Land Use, Land-Use Change, and Forestry) — is the subset of AFOLU emissions and removals of greenhouse gases (GHGs) resulting from direct human-induced land use, land-use change, and forestry activities excluding agricultural emissions.","AR5-SYR","2026-02-27"
"1522","A","Agriculture, Forestry and Other Land Use (AFOLU)","In the context of national greenhouse gas (GHG) inventories under the United Nations Convention on Climate Change (UNFCCC), AFOLU is the sum of the GHG inventory sectors Agriculture and Land Use, Land-Use Change and Forestry (LULUCF); see the 2006 IPCC Guidelines for National GHG Inventories for details. Given the difference in estimating the ‘anthropogenic’ carbon dioxide (CO2) removals between countries and the global modelling community, the land-related net GHG emissions from global models included in this report are not necessarily directly comparable with LULUCF estimates in national GHG Inventories.","SRCCL; AR5-WG3; AR6","2026-02-27"
"1524","A","Agrobiodiversity","‘The variety and variability of animals, plants and micro-organisms that are used directly or indirectly for food and agriculture, including crops, livestock, forestry and fisheries. It comprises the diversity of genetic resources (varieties, breeds) and species used for food, fodder, fibre, fuel and pharmaceuticals. It also includes the diversity of non-harvested species that support production (soil micro-organisms, predators, pollinators), and those in the wider environment that support agro-ecosystems (agricultural, pastoral, forest and aquatic) as well as the diversity of the agro-ecosystems’ (FAO, 2005).","SRCCL","2026-02-27"
"1526","A","Agroecology","‘The science and practice of applying ecological concepts, principles and knowledge (i.e., the interactions of, and explanations for, the diversity, abundance and activities of organisms) to the study, design and management of sustainable agroecosystems. It includes the roles of human beings as a central organism in agroecology by way of social and economic processes in farming systems. Agroecology examines the roles and interactions among all relevant biophysical, technical and socioeconomic components of farming systems and their surrounding landscapes’ (IPBES, 2019).","SRCCL; AR6","2026-02-27"
"1528","A","Agroforestry","Collective name for land-use systems and technologies where woody perennials (trees, shrubs, palms, bamboos, etc.) are deliberately used on the same land-management units as agricultural crops and/or animals, in some form of spatial arrangement or temporal sequence. In agroforestry systems there are both ecological and economical interactions between the different components. Agroforestry can also be defined as a dynamic, ecologically based, natural resource management system that, through the integration of trees on farms and in the agricultural landscape, diversifies and sustains production for increased social, economic and environmental benefits for land users at all levels (FAO, 2015a).","SRCCL; AR6","2026-02-27"
"2302","A","Air mass","A widespread body of air, the approximately homogeneous properties of which (1) have been established while that air was situated over a particular region of the Earth's surface, and (2) undergo specific modifications while in transit away from the source region (AMS, 2000).","AR5-WG1; AR6","2026-02-27"
"27","A","Air pollution","Degradation of air quality with negative effects on human health, the natural or built environment, due to the introduction by natural processes or human activity in the atmosphere of substances (gases, aerosols) which have a direct (primary pollutants) or indirect (secondary pollutants) harmful effect.","SRCCL; SR15; AR6","2026-02-27"
"2304","A","Airborne fraction","The fraction of total CO2 emissions (from fossil fuel and land use change) remaining in the atmosphere.","AR5-WG1; AR6","2026-02-27"
"29","A","Albedo","The proportion of sunlight (solar radiation) reflected by a surface or object, often expressed as a percentage. Clouds, snow and ice usually have high albedo; soil surfaces cover the albedo range from high to low; vegetation in the dry season and/or in arid zones can have high albedo, whereas photosynthetically active vegetation and the ocean have low albedo. The Earth's planetary albedo changes mainly through varying cloudiness, snow, ice, leaf area and land cover changes.","SRCCL; SROCC; SR15; AR5-WG3; AR5-SYR; AR5-WG1; SREX; AR6","2026-02-27"
"2088","A","Alien (non-native) species","An introduced species (alien species, exotic species, non-indigenous species, or non-native species) living outside its native distributional range, but which has arrived there by human activity, either deliberate or accidental. Non-native species can have various effects on and adversely affect the local ecosystem.","SROCC","2026-02-27"
"2306","A","Alkalinity","A measure of the capacity of an aqueous solution to neutralize acids.","AR5-WG1; AR6","2026-02-27"
"2788","A","Alliance of Small Island States (AOSIS)","The Alliance of Small Island States (AOSIS) is a coalition of small islands and low-lying coastal countries with a membership of 44 states and observers that share and are active in global debates and negotiations on the environment, especially those related to their vulnerability to the adverse effects of climate change. Established in 1990, AOSIS acts as an ad-hoc lobby and negotiating voice for small island development states (SIDS) within the United Nations including the United Nations Framework Convention on Climate Change (UNFCCC) climate change negotiations.","AR5-WG3","2026-02-27"
"2308","A","Altimetry","A technique for measuring the height of the Earth's surface with respect to the geocentre of the Earth within a defined terrestrial reference frame (geocentric sea level).","AR5-SYR; AR5-WG1; AR6","2026-02-27"
"31","A","Ambient persuasive technology","Technological systems and environments that are designed to change human cognitive processing, attitudes and behaviours without the need for the user’s conscious attention.","SRCCL; SR15","2026-02-27"
"2790","A","Ancillary benefits","","AR5-WG3; AR5-SYR; AR5-WG2","2026-02-27"
"1720","A","Annex B countries","This is the subset of Annex I countries that have specified greenhouse gas reduction commitments under the Kyoto Protocol. The group is largely similar to the Annex I countries to the UNFCCC. By default, the other countries are referred to as Non-Annex I countries.","SRREN","2026-02-27"
"2792","A","Annex B Parties/countries","The subset of Annex I Parties that have accepted greenhouse gas (GHG) emission reduction targets for the period 2008-2012 under Article 3 of the Kyoto Protocol. By default, the other countries are referred to as Non-Annex I Parties.","AR5-WG3","2026-02-27"
"1722","A","Annex I countries","The group of countries included in Annex I (as amended since Malta was added after that date) to the UNFCCC, including developed countries and some countries with economies in transition. Under Articles 4.2 (a) and 4.2 (b) of the Convention, Annex I countries were encouraged to return individually or jointly to their 1990 levels of greenhouse gas emissions by 2000. The group is largely similar to the Annex B countries to the Kyoto Protocol. By default, the other countries are referred to as Non-Annex I countries.","SRREN","2026-02-27"
"2794","A","Annex I Parties/countries","The group of countries listed in Annex I to the United Nations Framework Convention on Climate Change (UNFCCC). Under Articles 4.2 (a) and 4.2 (b) of the UNFCCC, Annex I Parties were committed to adopting national policies and measures with the non-legally binding aim to return their greenhouse gas (GHG) emissions to 1990 levels by 2000. The group is largely similar to the Annex B Parties to the Kyoto Protocol that also adopted emissions reduction targets for 2008-2012. By default, the other countries are referred to as Non-Annex I Parties.","AR5-WG3","2026-02-27"
"2796","A","Annex II Parties/countries","The group of countries listed in Annex II to the United Nations Framework Convention on Climate Change (UNFCCC). Under Article 4 of the UNFCCC, these countries have a special obligation to provide financial resources to meet the agreed full incremental costs of implementing measures mentioned under Article 12, paragraph 1. They are also obliged to provide financial resources, including for the transfer of technology, to meet the agreed incremental costs of implementing measures covered by Article 12, paragraph 1 and agreed between developing country Parties and international entities referred to in Article 11 of the UNFCCC. This group of countries shall also assist countries that are particularly vulnerable to the adverse effects of climate change.","AR5-WG3","2026-02-27"
"2310","A","Annular modes","","AR5-WG1; AR6","2026-02-27"
"33","A","Anomaly","The deviation of a variable from its value averaged over a reference period.","SRCCL; SROCC; SR15; AR5-WG2; AR6","2026-02-27"
"5164","A","Antarctic Ice Sheet (AIS)","There are only two ice sheets in the modern world, one on Greenland and one on Antarctica. The latter is dividedinto the East Antarctic Ice Sheet (EAIS), the West Antarctic Ice Sheet (WAIS) and the Antarctic Peninsula Ice Sheet. During glacial periods, there were other ice sheets.","AR6","2026-02-27"
"1530","A","Anthromes","‘Human systems, with natural ecosystems embedded within them’ (Ellis and Ramankutty 2008). The anthrome classification system is based on human population density and land use, and comprises the following classes: dense settlements, villages, croplands, rangeland, forested (then broadened to seminatural) and wildlands (Ellis et al. 2010).","SRCCL","2026-02-27"
"35","A","Anthropocene","A proposed new geological epoch resulting from significant human-driven changes to the structure and functioning of the Earth System, including the climate system. Originally proposed in the Earth System science community in 2000, the proposed new epoch is undergoing a formalization process within the geological community based on the stratigraphic evidence that human activities have changed the Earth System to the extent of forming geological deposits with a signature that is distinct from those of the Holocene, and which will remain in the geological record. Both the stratigraphic and Earth System approaches to defining the Anthropocene consider the mid-20th Century to be the most appropriate starting date, although others have been proposed and continue to be discussed. The Anthropocene concept has been taken up by a diversity of disciplines and the public to denote the substantive influence humans have had on the state, dynamics and future of the Earth System.","SRCCL; SR15; AR6","2026-02-27"
"37","A","Anthropogenic","Resulting from or produced by human activities.","SRCCL; SROCC; SR15; AR5-WG2; AR5-WG1; SRREN; SREX; AR6","2026-02-27"
"39","A","Anthropogenic emissions","Emissions of greenhouse gases (GHGs), precursors of GHGs and aerosols caused by human activities. These activities include the burning of fossil fuels, deforestation, land use and land use changes (LULUC), livestock production, fertilisation, waste management, and industrial processes.","SRCCL; SROCC; SR15; AR5-WG3; AR5-WG2; SRREN; SREX; AR6","2026-02-27"
"41","A","Anthropogenic removals","The withdrawal of greenhouse gases (GHGs) from the atmosphere as a result of deliberate human activities. These include enhancing biological sinks of CO2 and using chemical engineering to achieve long term removal and storage. Carbon capture and storage (CCS) from industrial and energy-related sources, which alone does not remove CO2 from the atmosphere, can help reduce atmospheric CO2 if it is combined with bioenergy production (BECCS). [Note: In the 2006 IPCC Guidelines for national GHG Inventories, which are used in reporting of emissions to the UNFCCC, ‘anthropogenic’ land-related GHG fluxes are defined as all those occurring on ‘managed land’, i.e. ‘where human interventions and practices have been applied to perform production, ecological or social functions’. However, some removals (e.g. removals associated with CO2 fertilisation and N deposition) are not considered as ‘anthropogenic’, or are referred to as ‘indirect’ anthropogenic effects, in some of the scientific literature assessed in this report. As a consequence, the land-related net GHG emission estimates from global models included in this report are not necessarily directly comparable with LULUCF estimates in national GHG Inventories.]","SRCCL; SR15; AR6","2026-02-27"
"2090","A","Anthropogenic subsidence","Downward motion of the land surface induced by anthropogenic drivers (e.g., loading, extraction of hydrocarbons and/or groundwater, drainage, mining activities) causing sediment compaction or subsidence/deformation of the sedimentary sequence, or oxidation of organic material, thereby leading to relative sea level rise.","SROCC; AR6","2026-02-27"
"4922","A","Apparent hydrological sensitivity (ηa)","The change in global mean precipitation per degree Celsius of global mean surface air temperature (GSAT) change with units of % per °C, although it can also be calculated as Wm-2 per °C.","AR6","2026-02-27"
"5855","A","Arctic oscillation (AO)","See Northern Annular Mode (NAM) (under Annular modes).","AR6","2026-02-27"
"3242","A","Arid zone","Areas where vegetation growth is severely constrained due to limited water availability. For the most part, the native vegetation of arid zones is sparse. There is high rainfall variability, with annual averages below 300 mm. Crop farming in arid zones requires irrigation.","AR5-WG2; AR6","2026-02-27"
"1532","A","Aridity","The state of a long-term climatic feature characterised by low average precipitation or available water in a region. Aridity generally arises from widespread persistent atmospheric subsidence or anticyclonic conditions, and from more localised subsidence in the lee side of mountains (adapted from Gbeckor-Kove, 1989; Türkeş, 1999).","SRCCL; AR6","2026-02-27"
"43","A","Artificial intelligence (AI)","Computer systems able to perform tasks normally requiring human intelligence, such as visual perception and speech recognition.","SR15","2026-02-27"
"5497","A","Artificial ocean upwelling (AOUpw)","A potential carbon dioxide removal (CDR) method that aims to artificially pump up cooler, nutrient-rich waters from deep in the ocean to the surface. The aim is to stimulate phytoplankton activity and thereby increase ocean CO2 uptake.","AR6","2026-02-27"
"4582","A","Assets","Natural or human-made resources that provide current or future utility, benefit, economic or intrinsic value to natural or human systems.","AR6","2026-02-27"
